gross,budget,senti_actor,senti_director,country,genres,imdb_score,count_actor,count_director,senti_comment,log_budget
406035,1500000,0.100438797,0.110234425,USA,Drama,7.2,497,198.3301927,0.12987756,14.22097567
373967,1500000,0.132119417,0.1675,USA,Horror,6.5,284.7456014,20,0.038888757,14.22097567
194568,1500000,0.132119417,0.128722006,USA,Comedy,6.2,284.7456014,60,0.10052072,14.22097567
163245,1500000,0.132119417,0.150585317,USA,Comedy,8.6,284.7456014,40,0.217762548,14.22097567
119841,1500000,0.149342105,0.087187374,USA,Drama,6.5,19,400,0.203236474,14.22097567
173066,1500000,0.132119417,0.079159944,USA,Comedy,6.3,284.7456014,260,0.071015862,14.22097567
92362,1500000,0.195680736,0.089487611,USA,Comedy,4.3,60,100,0.138694687,14.22097567
105943,1500000,0.130486111,0.127115951,USA,Comedy,6.1,20,500,0.138694687,14.22097567
183490,1700000,0.132119417,0.080303741,USA,Drama,5.8,284.7456014,20,0.138694687,14.34613881
3478,1500000,0.132119417,0.113819444,Canada,Fantasy,6.7,284.7456014,20,0.111452959,14.22097567
52166,2000000,0.132119417,0.110234425,USA,Drama,6.7,284.7456014,198.3301927,0.138694687,14.50865774
1163508,2500000,0.075501564,0.104197631,USA,Drama,5.1,99,500,0.047183795,14.73180129
80033643,60000000,0.079002788,-0.132451239,USA,Action,7,499,20,0.099701827,17.90985512
184925485,2000000,0.132119417,0.110234425,USA,Animation,7.7,284.7456014,198.3301927,0.243093658,14.50865774
304124,1400000,0.132119417,0.110234425,Argentina,Drama,6.7,284.7456014,198.3301927,0.061089543,14.15198279
36830,1400000,0.132119417,0.110234425,UK,Adventure,6.6,284.7456014,198.3301927,0.14808042,14.15198279
3650677,960000,0.11573019,0.133092829,UK,Comedy,8.2,475,320,0.075343614,13.77468856
1647780,1300000,0.132119417,0.110234425,Denmark,Drama,8.1,284.7456014,198.3301927,0.14427156,14.07787482
695229,1300000,0.078963902,0.079640929,USA,Comedy,7.2,495,500,0.147740259,14.07787482
638951,1592000,0.150827765,0.110234425,USA,Drama,7.4,431,198.3301927,0.138694687,14.28050165
609042,1300000,0.132119417,0.110234425,USA,Drama,6.5,284.7456014,198.3301927,0.270729634,14.07787482
1521,1500000,0.132119417,-0.022592593,Canada,Comedy,5.7,284.7456014,20,0.138694687,14.22097567
32940507,60000000,0.036719474,0.110234425,USA,Action,6.1,495,198.3301927,0.154647585,17.90985512
19539,1000000,0.247238606,0.110234425,USA,Comedy,6.2,40,198.3301927,0.101531844,13.81551056
100358,1500000,0.264350131,0.110234425,India,Comedy,3.3,500,198.3301927,0.138694687,14.22097567
19100000,1250000,0.132119417,-0.021548239,USA,Horror,6.1,284.7456014,60,0.157308945,14.03865411
2833383,427000,0.132119417,0.110234425,USA,Drama,5.7,284.7456014,198.3301927,0.138694687,12.96453929
24741700,1200000,0.291316728,0.191837635,USA,Drama,7.2,40,100,0.17920644,13.99783211
55153403,1200000,0.12368887,0.11762895,USA,Horror,7.7,80,100,0.015893265,13.99783211
18488314,1200000,0.132119417,0.110234425,USA,Comedy,7.1,284.7456014,198.3301927,0.102252337,13.99783211
11278,1300000,0.132119417,0.110234425,Mexico,Comedy,7,284.7456014,198.3301927,0.138694687,14.07787482
79363785,80000000,0.104763994,0.124363051,USA,Drama,5.5,494,500,0.059189069,18.19753719
13876974,7000000,0.137474747,0.282250169,India,Comedy,7.4,39,80,0.219703278,15.76142071
9180275,1200000,0.0709369,0.110234425,USA,Drama,7.7,119,198.3301927,0.153954921,13.99783211
22494487,27000000,0.036719474,0.110234425,Germany,Crime,7.8,495,198.3301927,0.138694687,17.11134742
2199853,1200000,0.129751558,0.110234425,USA,Comedy,6.6,199,198.3301927,0.223010595,13.99783211
2859955,1200000,0.195680736,0.088935142,USA,Drama,6,60,20,0.154769818,13.99783211
2812029,1200000,0.191592828,0.187843862,USA,Crime,8.4,493,500,0.075601028,13.99783211
6100000,1200000,0.065896118,0.150213651,Italy,Western,8.9,487,200,0.1673471,13.99783211
