,actor,sentiment,count
2522,Christian Bale,0.14269345514517914,437
2523,Jake Gyllenhaal,0.0953481413637076,484
2524,Norman Reedus,0.2325546803992019,430
2525,Emma Stone,0.10635324958055607,497
2526,Jada Pinkett Smith,0.12954573068161554,178
2527,Eddie Izzard,0.1107989782925976,396
2528,Cameron Monaghan,0.12947456843786379,497
2529,Harold Perrineau,0.18470684523809527,40
2530,Anthony Hopkins,0.12497510754045438,483
2531,Jennifer Jason Leigh,0.11641630752679863,56
2532,Jim Broadbent,0.08749305555555556,40
2533,Catherine Deneuve,0.1051129426129426,39
2534,Janeane Garofalo,0.13896453373015877,40
2535,Bob Hoskins,0.12194846462460097,99
2536,Colin Firth,0.15213710192838095,499
2537,Faye Dunaway,0.05462029195011339,200
2538,James Corden,0.05701869199926501,492
2539,Jerry Ferrara,0.09530220260739738,99
2540,Rufus Sewell,0.14510944276855062,478
2541,Robert Downey Jr.,0.14644303481409487,499
2542,Anna Friel,0.26325045645686407,119
2543,Will Ferrell,0.08942211397129829,477
2544,Rupert Grint,0.12391917541427347,153
2545,John de Lancie,0.18400121952910173,57
2546,Brian Dennehy,0.1493421052631579,19
2547,Michael Angarano,0.6287747495559995,39
2548,Paul Walker,0.08920744283378193,493
2549,Celia Imrie,0.3114583333333333,20
2550,Mckenna Grace,0.05553233225108226,40
2551,Charlotte Rampling,0.0949047619047619,20
2552,Morgan Freeman,0.11061689338669153,483
2553,Vanessa Williams,0.178834772129278,277
2554,Viggo Mortensen,0.16836111702354492,138
2555,J.K. Simmons,0.1211107229619888,79
2556,Jay Hernandez,0.0762016687016687,39
2557,Dominic Cooper,0.18198870400432904,40
2558,Frances Conroy,0.08304434974747474,20
2559,Eric Johnson,0.12587168604792245,118
2560,J.K. Simmons,0.1211107229619888,79
2561,Jeff Bridges,0.3303391445818768,496
2562,Samantha Morton,0.1979898538961039,40
2563,Bob Hoskins,0.12194846462460097,99
2564,Don Cheadle,0.05163066730699763,498
2565,Mia Wasikowska,0.14352205086580086,20
2566,Akon,0.08546258134370543,498
2567,Saif Ali Khan,0.1375543740981241,200
2568,Catherine Deneuve,0.1051129426129426,39
2569,Bruce Dern,0.1832354918229917,100
2570,Keanu Reeves,0.10476399390001678,494
2571,Joseph Gilgun,0.3314195526695527,20
2572,J.K. Simmons,0.1211107229619888,79
2573,J.K. Simmons,0.1211107229619888,79
2574,Al Pacino,0.1403847002950841,476
2575,Joseph Gordon-Levitt,0.12443745574725261,218
2576,Holly Hunter,0.1433646949341782,179
2577,Channing Tatum,0.14801853621680766,499
2578,Yaphet Kotto,0.06590530303030304,20
2579,Clint Howard,0.09962270773208275,60
2580,Ryan Reynolds,0.1367400621654784,495
2581,Leonardo DiCaprio,0.15053152394643182,495
2582,Robert Downey Jr.,0.14644303481409487,499
2583,Philip Seymour Hoffman,0.17078487649916219,117
2584,Quentin Tarantino,0.19159282809257452,493
2585,Milla Jovovich,0.040881448539011565,238
2586,Farrah Fawcett,0.1466210172515976,98
2587,Christopher Lee,0.1238907090053764,496
2588,Bill Duke,0.22766100858206126,19
2589,Bill Murray,0.11756176113536748,492
2590,Lily Tomlin,0.20344341379839642,217
2591,Sid Haig,0.07550156370705614,99
2592,Kimberly Elise,0.14481746031746034,20
2593,LL Cool J,0.10991580623469238,482
2594,Albert Finney,0.18052362025513075,180
2595,Sid Haig,0.07550156370705614,99
2596,Bill Murray,0.11756176113536748,492
2597,Julian Sands,0.2149507068452381,20
2598,Minnie Driver,0.13573456635956638,39
2599,Colin Firth,0.15213710192838095,499
2600,Irvin Kershner,0.04285287081339713,19
2601,Jonathan Brandis,-0.05831755050505051,20
2602,Jeffrey Jones,0.08807277470471912,180
2603,Michael J. Pollard,0.08711574074074073,20
2604,Anne Hathaway,0.09718446908998704,497
2605,Shah Rukh Khan,0.24226472253734854,498
2606,Matt Walsh,0.007046046408864206,236
2607,Ed Begley Jr.,0.12688903974291948,59
